Stock name,Current Price,Previous close,Open,Bid,Ask,Day range,52 week range,Volume,Avg Volume
Alphabet Inc. (GOOGL),"1,328.03","1,348.33","1,376.16","1,325.00 x 900","1,327.97 x 1100","1,323.30 - 1,345.35","1,008.87 - 1,530.74","386,828","2,782,632"
"Amazon.com, Inc. (AMZN)","2,365.00","2,367.92","2,361.01","2,360.88 x 1800","2,362.06 x 1200","2,356.21 - 2,384.60","1,626.03 - 2,475.00","839,471","6,107,585"
